"phylum";"class";"order_name";"family_name";"genus_name";"taxa_to_filter";"motus";"reads"
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Bryodrilus";"Bryodrilus";18;18409
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Buchholzia";"Buchholzia";52;192965
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Cernosvitoviella";"Cernosvitoviella";2;694
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Chamaedrilus";"Chamaedrilus";147;492577
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Enchytraeus";"Enchytraeus";34;22655
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Enchytronia";"Enchytronia";7;9537
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Fridericia";"Fridericia";171;337215
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Grania";"Grania";5;10194
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Hemifridericia";"Hemifridericia";179;998498
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Henlea";"Henlea";63;206157
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Marionina";"Marionina";3;1240
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Mesenchytraeus";"Mesenchytraeus";26;148033
"Annelida";"Clitellata";"Haplotaxida";"Enchytraeidae";"Stercutus";"Stercutus";9;10273
"Annelida";"Clitellata";"Haplotaxida";"Glossoscolecidae";"Pontoscolex";"Pontoscolex";1;41
"Annelida";"Clitellata";"Haplotaxida";"Hormogastridae";"Hormogaster";"Hormogaster";1;1327
"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Aporrectodea";"Aporrectodea";89;45713
"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Dendrobaena";"Dendrobaena";226;1284877
"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Dendrodrilus";"Dendrodrilus";5;252138
"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Lumbricus";"Lumbricus";50;13762
"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Octolasion";"Octolasion";31;38766
"Annelida";"Clitellata";"Haplotaxida";"Megascolecidae";"Achaeta";"Achaeta";17;81308
"Annelida";"Clitellata";"Haplotaxida";"Tubificidae";"Limnodrilus";"Limnodrilus";1;2
